nl	en	de	fr	es	cs	hu	pl	sk	it
, maak uw keuze uit bovenstaande menubalk.	, make a choice from upper menubar.	, wählen Sie aus den entsprechenden Menüs.	, faîtes votre choix dans le menu	, Hacer una elección de la barra de menú superior.	, vyberte si menu naho?e.	, válasszon a fenti menüb?l.	, dokonaj wyboru z menu.	Vyberte si z vyššie uvedenej ponuky na lište.	, selezionate un'opzione dalla barra del menu sopra riportata.
Aanleverdatum:	Artwork date:	Dateneingang: 	Date réception:	Fecha de entrega:	Termín dodání:	Szállítási dátum:	Data dostawy:	Termín dodania:	Data di consegna:
Aanleveren:	Delivery artwork:	Anlieferen:	Livrer les données:	Entrega:	Dodání:	Szállítás:	Dostawa:	dodania:	Consegna:
Aanmelden	Logon	Anmelden	Se connecter	Inicio de sesión	P?ihlášení	Bejelentkezés:	Zg?oszenie	Prihlásiť sa	Iscrizione
Aanmeldgegevens	Account details	Kontodetails	Données d'enregistrement	Detalles de la cuenta	Detaily účtu	Fiókrészletek	Szczegóły Konta	Detaily účtu	Dettagli account
Aantal	Number	Anzahl	Nombre	Número	Číslo	Mennyiség	Numer	číslo	Quantità
Aantal kleuren in document:	Number of colors in document:	Anzahl Farben in Datei:	Mombres couleurs dans le document	Número de colores del documento:	Po?et barev v dokumentu:	Színek száma a dokumentumban:	Liczba kolorów w dokumencie:	Po?et farieb v dokumente:	Numero di colori nel documento:
Aantal kleuren verwacht:	Number of colors expected:	Anzahl Farben erwartetet:	Nombres couleurs expectés	Número de colores espera:	P?edpokládaný po?et barev:	Várható színek száma:	Spodziewana liczba kolorów:	Počet farieb očakávať:	Numero di colori previsti:
Accepteer	Accept	Akzeptiert	Permet	Aceptar	Akceptovat	Elfogadás	Akceptuj	Prija?	Accetta
Adres:	Address:	Straße:	Adresse:	Dirección:	Adresa:	Cím:	Adres:	Adresa:	Indirizzo:
Af	Min.	Ab	Moins	Min.	Af	 	Od, z	Min.	Terminato
af te schrijven van uw rekening.	from our account.	Abschreiben von ihrer Rechnung.	à virer de notre compte	de nuestra cuenta.	odepsat z ú?tu.	a számlájáról leírandó.	do odpisania z rachunku.	z nášho účtu.	da addebitare sul vostro conto.
Afdeling:	Department:	Abteilung:	Service:	Departamento:	Oddělení:	Részleg:	Departament:	pracovisko:	Dipartimento:
afgeschreven. Als dit gelukt is ontvangt u de goederen.	. If this goes well you will receive the goods.	abschreiben. Wenn es gut gemacht ist, bekommen sie die Güter.	Viré. Vous recevez vos produits..	. Si esto sigue así va a recibir las mercancías.	odepsaný. Pokud se vám to poda?í, obdržíte zboží.	leírva. Ennek sikeres elvégzése után megkapja az árucikkeket.	odpisano. Po pozytywnym zako?czeniu otrzymasz produkty.	odhlásený Po úspešnom dokon?ení dostanete tovar.	addebitato. Riceverete la merce qualora l'operazione abbia avuto buon esito.
Afleveradres	Delivery address	Lieferadresse	Adresse de livraison	Dirección de entrega	Doručovací adresa	Kiszállítási cím	Adres dostawy	Dodacia adresa	Indirizzo di recapito
Afleverbon	Delivery form	Lieferschein	Bon de livraison	Forma de entrega	forma dodávky	Szállítójegy	Kwit dostawy	Dodací list	Ricevuta di recapito
Afleverbon:	Delivery form:	Lieferschein:	Bon de livraison:	Forma de entrega:	Forma dodávky:	Szállítójegy:	Kwit dostawy:	Dodací list:	Ricevuta di recapito:
Afleverbonnen	Delivery forms	Lieferscheine	Bons de livraison	formas de suministro	Dodací formy	Szállítójegyek	Kwity dostawy	Dodacie listy	Ricevute di recapito
Afleveren:	Delivery:	Liefern:	Livrer:	Entregar	Dodat:	Kiszállítás:	Dostarczyć	Doda?:	Recapito:
Afloop:	Bleed	Anschnitt	Bord perdu	Sangrar	Krvácet	Vérzik	Krwawić	krvácať	Sanguinare
Afmelden	Logoff	Abmelden	Deconnecter	Desconectarse	Odhlásit	Kijelentkezés	Wyrejestrowanie	Odhlásiť sa	Annullare la registrazione
Afwerking:	Finishing:	Bubi:	Façonnage:	Refinamiento:	Povrchová úprava:	Végső:	Wykończeniowy:	Povrchová úprava:	Finitura:
Akkoord	Approved	Akzeptieren	Accord	Aprobado	Schválený	Jóváhagyott	Zatwierdzony	schválený	Approvato
Alle	All	Alle	Tous	Todas	Všechno	Minden	Wszystko	Všetko	Tutti
Alle kleuren worden omgezet naar:	Colors will be converted to:	Alle Farben werden konvertiert nach:	Tous les couleurs sont converti vers:	Los colores se pueden convertir en:	Barvy budou převedeny na:	Színek kell átalakítani, hogy:	Kolory zostaną zamienione na:	Farby budú prevedené na:	I colori saranno convertiti in:
